"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $234.62/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0xd26e624bba17bd0574fd05628c07e0251c6d6ef425e3df2aa142160f565430fe","7907006","1559842163","2019-06-06 17:29:23","0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","","5.58698","0","1310.8172476","0.00063","0.1478106","249.43","","",""
"0x45b62416b064311d8c760c69edb887a8e1e291bd8cf8498ad0e798a117821b8e","7907078","1559843134","2019-06-06 17:45:34","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x172e09691dfbbc035e37c73b62095caa16ee2388","","0","1","234.62","0.000417423","0.09793578426","249.43","","",""
"0x2c0b243ddc0bfdb46fd06045a918b9f18cd46f2016b925db179d1db03f0481d4","7907738","1559851888","2019-06-06 20:11:28","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00147593","0.3462826966","249.43","","",""
"0x067eac9f187bd3fc799658e1499348342bdfb03f63c653d0fa192ec4c5fc9d31","7907752","1559852078","2019-06-06 20:14:38","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0255986346","6.005951649852","249.43","","",""
"0x2264da8c9e81aa5af377e92e17fd4e1d56299dad1fcbf116a39a2575e0b01a37","7907758","1559852165","2019-06-06 20:16:05","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.0021591894","0.506589017028","249.43","","",""
"0xb9aa92c9d50d9bc01356a4f055551e383c64a1a50a7728fb8aa77ef5c11b26a7","7907768","1559852328","2019-06-06 20:18:48","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.0005583851","0.131008312162","249.43","Error(0)","Reverted",""
"0xbfd548df2274e7e7a1cf45463f7b018958fffe458b6e79e598d869409eaa9f52","7908042","1559856392","2019-06-06 21:26:32","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x8da198a049426bfcf1522b0dc52f84beda6e38ff","","0","0.5","117.31","0.000093432","0.02192101584","249.43","","",""
"0xddfe24f9b73b54250cbb6ec7bdb47aedf933804f07200df9dea739e68e602e22","7908118","1559857425","2019-06-06 21:43:45","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xa1ecdcca26150cf69090280ee2ee32347c238c7b","","0","1","234.62","0.000103492","0.02428129304","249.43","","",""
"0xec0e4c5b136b00292774d3bea7e38ebc535fea6a00e72906a21d0933e21ddcb8","7908118","1559857425","2019-06-06 21:43:45","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xa1ecdcca26150cf69090280ee2ee32347c238c7b","","0","1","234.62","0.000103492","0.02428129304","249.43","","",""
"0xca6c39f153e6f89e74e2e47c9c34ca63d84a3f3163bde0ddb7554ad30fd95453","7909191","1559871794","2019-06-07 01:43:14","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.001385259","0.32500946658","249.54","","",""
"0xc60157a57c863d19b65b020f0181439ecfdf60674f0778f6409e1502c336e9f1","7909191","1559871794","2019-06-07 01:43:14","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000421362","0.09885995244","249.54","","",""
"0xbd6786920e1bafc5b93f7c16767a7f7779816b31f0baf1ca7403ca1fb8c64056","7909193","1559871804","2019-06-07 01:43:24","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00042135","0.098857137","249.54","","",""
"0x0b0871bcf63d9f28769292248c6d6438ef3bfd6749b56e288e4525d89eb5ec10","7910901","1559895239","2019-06-07 08:13:59","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","0x8da198a049426bfcf1522b0dc52f84beda6e38ff","","0","1","234.62","0.000280296","0.06576304752","249.54","","",""
"0x7dd67df0a96109265f6a2491636e014de4d9898d3154f81ea5dd537b1c67d33f","7911073","1559897559","2019-06-07 08:52:39","0x564286362092d8e7936f0549571a803b203aaced","0xff50219d17083f234a37f9f85d5f1d5a05b3169f","","0.812177","0","190.55296774","0.00084","0.1970808","249.54","","",""
